Label,Resin,ResinAmount,Solvent,SolventAmount,dD,dP,dH,Initiator,Result,ResultRevised,LabId,PrepTaskId,PrepByThread,PrepStart,PrepEnd,PrepProtocolId,ImageTaskId,ImageByThread,ImageStart,ImageEnd,ImageProtocolId
R8:S4-r5.00:s5.00,R8,5.0,S4,5.0,20.0,18.0,4.1,explore,Y,0,id:J8AY5jAevKvD,prep:098158782e8b68d13b5bd1b01f1b928c,thread3,2024-09-13T16:08:14.911865-04:00,2024-09-15T03:32:51-04:00,id:D8KAEvDPVzW0,image:b3dd60881eae37e7fb48a3851a0ec2c3,thread3,2024-09-17T06:36:09.275012-04:00,2024-09-17T07:16:34.628982-04:00,id:qdkmxzGvB6MY
R8:S10-r5.00:s5.00,R8,5.0,S10,5.0,15.8,3.7,6.3,explore,Y,0,id:bq9LA09raYaa,prep:098158782e8b68d13b5bd1b01f1b928c,thread3,2024-09-13T16:08:14.911865-04:00,2024-09-15T03:32:51-04:00,id:D8KAEvDPVzW0,image:b3dd60881eae37e7fb48a3851a0ec2c3,thread3,2024-09-17T06:36:09.275012-04:00,2024-09-17T07:16:34.628982-04:00,id:qdkmxzGvB6MY
R8:S11-r5.00:s5.00,R8,5.0,S11,5.0,15.8,8.8,19.4,explore,Y,0,id:jLq9jXqMA8AW,prep:098158782e8b68d13b5bd1b01f1b928c,thread3,2024-09-13T16:08:14.911865-04:00,2024-09-15T03:32:51-04:00,id:D8KAEvDPVzW0,image:b3dd60881eae37e7fb48a3851a0ec2c3,thread3,2024-09-17T06:36:09.275012-04:00,2024-09-17T07:16:34.628982-04:00,id:qdkmxzGvB6MY
R8:S13-r5.00:s5.00,R8,5.0,S13,5.0,16.8,0.0,0.2,explore,Y,0,id:8qZ1VWZlzGzZ,prep:098158782e8b68d13b5bd1b01f1b928c,thread3,2024-09-13T16:08:14.911865-04:00,2024-09-15T03:32:51-04:00,id:D8KAEvDPVzW0,image:b3dd60881eae37e7fb48a3851a0ec2c3,thread3,2024-09-17T06:36:09.275012-04:00,2024-09-17T07:16:34.628982-04:00,id:qdkmxzGvB6MY
R8:S17-r5.00:s5.00,R8,5.0,S17,5.0,18.0,12.3,7.2,explore,Y,0,id:KBL5DvLpRjRd,prep:098158782e8b68d13b5bd1b01f1b928c,thread3,2024-09-13T16:08:14.911865-04:00,2024-09-15T03:32:51-04:00,id:D8KAEvDPVzW0,image:b3dd60881eae37e7fb48a3851a0ec2c3,thread3,2024-09-17T06:36:09.275012-04:00,2024-09-17T07:16:34.628982-04:00,id:qdkmxzGvB6MY
R8:S21-r5.00:s5.00,R8,5.0,S21,5.0,16.2,5.1,9.2,explore,Y,0,id:rea9jlaMZ0Z5,prep:098158782e8b68d13b5bd1b01f1b928c,thread3,2024-09-13T16:08:14.911865-04:00,2024-09-15T03:32:51-04:00,id:D8KAEvDPVzW0,image:b3dd60881eae37e7fb48a3851a0ec2c3,thread3,2024-09-17T06:36:09.275012-04:00,2024-09-17T07:16:34.628982-04:00,id:qdkmxzGvB6MY
R8:S9-r5.00:s5.00,R8,5.0,S9,5.0,17.4,13.7,11.3,explore+,Y,0,id:M8n3rxnVvNPP,prep:0e8b18aa99fca6620a1c65963995be30,thread3,2024-09-17T07:17:56.952144-04:00,2024-09-19T11:10:45-04:00,id:n0k9mGOYBvG1,image:b693d743730eebfa4eeae05e072b4fe7,thread3,2024-09-20T11:29:12.167004-04:00,2024-09-20T12:12:43.026721-04:00,id:eGaklde8X46o
R8:S6-r5.00:s5.00,R8,5.0,S6,5.0,14.7,12.3,22.3,explore+,Y,0,id:1ZA60vAqPpz5,prep:0e8b18aa99fca6620a1c65963995be30,thread3,2024-09-17T07:17:56.952144-04:00,2024-09-19T11:10:45-04:00,id:n0k9mGOYBvG1,image:b693d743730eebfa4eeae05e072b4fe7,thread3,2024-09-20T11:29:12.167004-04:00,2024-09-20T12:12:43.026721-04:00,id:eGaklde8X46o
R8:S15-r5.00:s5.00,R8,5.0,S15,5.0,16.8,5.7,8.0,explore+,Y,0,id:01G6nvGXPeDm,prep:0e8b18aa99fca6620a1c65963995be30,thread3,2024-09-17T07:17:56.952144-04:00,2024-09-19T11:10:45-04:00,id:n0k9mGOYBvG1,image:b693d743730eebfa4eeae05e072b4fe7,thread3,2024-09-20T11:29:12.167004-04:00,2024-09-20T12:12:43.026721-04:00,id:eGaklde8X46o
R8:S5-r5.00:s5.00,R8,5.0,S5,5.0,15.3,18.0,6.1,explore+,Y,0,id:WNa4ZjaLzXMz,prep:0e8b18aa99fca6620a1c65963995be30,thread3,2024-09-17T07:17:56.952144-04:00,2024-09-19T11:10:45-04:00,id:n0k9mGOYBvG1,image:b693d743730eebfa4eeae05e072b4fe7,thread3,2024-09-20T11:29:12.167004-04:00,2024-09-20T12:12:43.026721-04:00,id:eGaklde8X46o
R8:S8-r5.00:s5.00,R8,5.0,S8,5.0,17.4,4.1,13.5,explore+,Y,0,id:n0k9mGkMKjOW,prep:0e8b18aa99fca6620a1c65963995be30,thread3,2024-09-17T07:17:56.952144-04:00,2024-09-19T11:10:45-04:00,id:n0k9mGOYBvG1,image:b693d743730eebfa4eeae05e072b4fe7,thread3,2024-09-20T11:29:12.167004-04:00,2024-09-20T12:12:43.026721-04:00,id:eGaklde8X46o
R8:S22-r5.00:s5.00,R8,5.0,S22,5.0,14.5,2.9,4.6,explore+,Y,0,id:54n6evnAWqJG,prep:0e8b18aa99fca6620a1c65963995be30,thread3,2024-09-17T07:17:56.952144-04:00,2024-09-19T11:10:45-04:00,id:n0k9mGOYBvG1,image:b693d743730eebfa4eeae05e072b4fe7,thread3,2024-09-20T11:29:12.167004-04:00,2024-09-20T12:12:43.026721-04:00,id:eGaklde8X46o
R8:S5:S17-r5.00:s1.50:s3.50,R8,5.0,S5:S17,1.50:3.50,17.19,14.01,6.87,explore+,Y,0,id:9RdZXvdL9ANK,prep:2a1a376b9ecff23ff657fba29fb6904a,thread3,2024-09-20T12:14:28.349929-04:00,2024-09-21T03:03:26-04:00,id:4pO6dMmE9lWr,image:92c7194f503756efdcb48a5cda904472,thread3,2024-09-22T18:24:05.758407-04:00,2024-09-22T20:07:09.490864-04:00,id:54n6evJrnZWP
R8:S17:S22-r5.00:s3.00:s2.00,R8,5.0,S17:S22,3.00:2.00,16.6,8.54,6.16,explore+,Y,0,id:xRO9n3OMX4Ej,prep:2a1a376b9ecff23ff657fba29fb6904a,thread3,2024-09-20T12:14:28.349929-04:00,2024-09-21T03:03:26-04:00,id:4pO6dMmE9lWr,image:92c7194f503756efdcb48a5cda904472,thread3,2024-09-22T18:24:05.758407-04:00,2024-09-22T20:07:09.490864-04:00,id:54n6evJrnZWP
R8:S19:S21-r5.00:s3.00:s2.00,R8,5.0,S19:S21,3.00:2.00,16.98,3.12,9.08,explore+,Y,0,id:vXl9j5lM4eWJ,prep:2a1a376b9ecff23ff657fba29fb6904a,thread3,2024-09-20T12:14:28.349929-04:00,2024-09-21T03:03:26-04:00,id:4pO6dMmE9lWr,image:92c7194f503756efdcb48a5cda904472,thread3,2024-09-22T18:24:05.758407-04:00,2024-09-22T20:07:09.490864-04:00,id:54n6evJrnZWP
R8:S3:S22-r5.00:s3.00:s2.00,R8,5.0,S3:S22,3.00:2.00,16.6,2.0,3.04,explore+,Y,0,id:N80DNj0XknvA,prep:2a1a376b9ecff23ff657fba29fb6904a,thread3,2024-09-20T12:14:28.349929-04:00,2024-09-21T03:03:26-04:00,id:4pO6dMmE9lWr,image:92c7194f503756efdcb48a5cda904472,thread3,2024-09-22T18:24:05.758407-04:00,2024-09-22T20:07:09.490864-04:00,id:54n6evJrnZWP
R8:S11:S16-r5.00:s1.50:s3.50,R8,5.0,S11:S16,1.50:3.50,16.64,7.75,10.79,explore+,Y,0,id:mnk9jOkMGKJR,prep:2a1a376b9ecff23ff657fba29fb6904a,thread3,2024-09-20T12:14:28.349929-04:00,2024-09-21T03:03:26-04:00,id:4pO6dMmE9lWr,image:92c7194f503756efdcb48a5cda904472,thread3,2024-09-22T18:24:05.758407-04:00,2024-09-22T20:07:09.490864-04:00,id:54n6evJrnZWP
R8:S1:S11-r5.00:s1.00:s4.00,R8,5.0,S1:S11,1.00:4.00,15.84,8.84,16.54,explore+,Y,0,id:6V0npv0oARqE,prep:2a1a376b9ecff23ff657fba29fb6904a,thread3,2024-09-20T12:14:28.349929-04:00,2024-09-21T03:03:26-04:00,id:4pO6dMmE9lWr,image:92c7194f503756efdcb48a5cda904472,thread3,2024-09-22T18:24:05.758407-04:00,2024-09-22T20:07:09.490864-04:00,id:54n6evJrnZWP
R8:S3:S22-r5.00:s2.00:s3.00,R8,5.0,S3:S22,2.00:3.00,15.9,2.3,3.56,explore+,Y,0,id:8qZ1VWZlzKwR,prep:848cfbe27f07c355d77fcd55d26a1c67,thread3,2024-09-22T20:38:08.106049-04:00,2024-09-25T10:09:03-04:00,id:n0k9mGO1kVnk,image:a01bf4e79507a7913982d557be03f0b1,thread3,2024-09-29T20:58:48.894609-04:00,2024-09-29T21:48:53.618106-04:00,id:GmzlKjNxwkZM
R8:S6:S16-r5.00:s3.00:s2.00,R8,5.0,S6:S16,3.00:2.00,15.62,10.3,16.22,explore+,Y,0,id:bq9LA09raeDb,prep:848cfbe27f07c355d77fcd55d26a1c67,thread3,2024-09-22T20:38:08.106049-04:00,2024-09-25T10:09:03-04:00,id:n0k9mGO1kVnk,image:a01bf4e79507a7913982d557be03f0b1,thread3,2024-09-29T20:58:48.894609-04:00,2024-09-29T21:48:53.618106-04:00,id:GmzlKjNxwkZM
R8:S10:S17-r5.00:s3.50:s1.50,R8,5.0,S10:S17,3.50:1.50,16.46,6.28,6.57,explore+,Y,0,id:rea9jlaMZkGO,prep:848cfbe27f07c355d77fcd55d26a1c67,thread3,2024-09-22T20:38:08.106049-04:00,2024-09-25T10:09:03-04:00,id:n0k9mGO1kVnk,image:a01bf4e79507a7913982d557be03f0b1,thread3,2024-09-29T20:58:48.894609-04:00,2024-09-29T21:48:53.618106-04:00,id:GmzlKjNxwkZM
R8:S12:S15-r5.00:s2.00:s3.00,R8,5.0,S12:S15,2.00:3.00,16.48,6.14,11.76,explore+,Y,0,id:aXRlGnR8adPO,prep:848cfbe27f07c355d77fcd55d26a1c67,thread3,2024-09-22T20:38:08.106049-04:00,2024-09-25T10:09:03-04:00,id:n0k9mGO1kVnk,image:a01bf4e79507a7913982d557be03f0b1,thread3,2024-09-29T20:58:48.894609-04:00,2024-09-29T21:48:53.618106-04:00,id:GmzlKjNxwkZM
R8:S4:S17-r5.00:s2.50:s2.50,R8,5.0,S4:S17,2.50:2.50,19.0,15.15,5.65,explore+,Y,0,id:J8AY5jAevoEK,prep:848cfbe27f07c355d77fcd55d26a1c67,thread3,2024-09-22T20:38:08.106049-04:00,2024-09-25T10:09:03-04:00,id:n0k9mGO1kVnk,image:a01bf4e79507a7913982d557be03f0b1,thread3,2024-09-29T20:58:48.894609-04:00,2024-09-29T21:48:53.618106-04:00,id:GmzlKjNxwkZM
R8:S1:S9-r5.00:s2.00:s3.00,R8,5.0,S1:S9,2.00:3.00,16.84,11.82,8.82,explore+,Y,0,id:wqW9BPWMVw3w,prep:848cfbe27f07c355d77fcd55d26a1c67,thread3,2024-09-22T20:38:08.106049-04:00,2024-09-25T10:09:03-04:00,id:n0k9mGO1kVnk,image:a01bf4e79507a7913982d557be03f0b1,thread3,2024-09-29T20:58:48.894609-04:00,2024-09-29T21:48:53.618106-04:00,id:GmzlKjNxwkZM
