Label,Resin,ResinAmount,Solvent,SolventAmount,dD,dP,dH,Initiator,Result,ResultRevised,LabId,PrepTaskId,PrepByThread,PrepStart,PrepEnd,PrepProtocolId,ImageTaskId,ImageByThread,ImageStart,ImageEnd,ImageProtocolId
R10:S4-r5.00:s5.00,R10,5.0,S4,5.0,20.0,18.0,4.1,explore,Y,1,id:Z1lqpMlkvOrM,prep:3b856e2ab30ebc0a113ddb80c1f086ab,thread3,2024-09-11T04:10:58.783592-04:00,2024-09-13T14:49:00-04:00,id:O81aEBv6LKKe,image:8ae968770b4f7adaedfe5c1991435d88,thread3,2024-09-15T18:31:58.243272-04:00,2024-09-15T22:15:26.087283-04:00,id:n0k9mGOYpxmk
R10:S11-r5.00:s5.00,R10,5.0,S11,5.0,15.8,8.8,19.4,explore,Y,1,id:XnlV5jlEOqNZ,prep:3b856e2ab30ebc0a113ddb80c1f086ab,thread3,2024-09-11T04:10:58.783592-04:00,2024-09-13T14:49:00-04:00,id:O81aEBv6LKKe,image:8ae968770b4f7adaedfe5c1991435d88,thread3,2024-09-15T18:31:58.243272-04:00,2024-09-15T22:15:26.087283-04:00,id:n0k9mGOYpxmk
R10:S13-r5.00:s5.00,R10,5.0,S13,5.0,16.8,0.0,0.2,explore,Y,1,id:4pO6dMOGjXm7,prep:3b856e2ab30ebc0a113ddb80c1f086ab,thread3,2024-09-11T04:10:58.783592-04:00,2024-09-13T14:49:00-04:00,id:O81aEBv6LKKe,image:8ae968770b4f7adaedfe5c1991435d88,thread3,2024-09-15T18:31:58.243272-04:00,2024-09-15T22:15:26.087283-04:00,id:n0k9mGOYpxmk
R10:S15-r5.00:s5.00,R10,5.0,S15,5.0,16.8,5.7,8.0,explore,Y,1,id:1ZA60vAqPpz6,prep:3b856e2ab30ebc0a113ddb80c1f086ab,thread3,2024-09-11T04:10:58.783592-04:00,2024-09-13T14:49:00-04:00,id:O81aEBv6LKKe,image:8ae968770b4f7adaedfe5c1991435d88,thread3,2024-09-15T18:31:58.243272-04:00,2024-09-15T22:15:26.087283-04:00,id:n0k9mGOYpxmk
R10:S17-r5.00:s5.00,R10,5.0,S17,5.0,18.0,12.3,7.2,explore,Y,1,id:Vrbp1jblaVvz,prep:3b856e2ab30ebc0a113ddb80c1f086ab,thread3,2024-09-11T04:10:58.783592-04:00,2024-09-13T14:49:00-04:00,id:O81aEBv6LKKe,image:8ae968770b4f7adaedfe5c1991435d88,thread3,2024-09-15T18:31:58.243272-04:00,2024-09-15T22:15:26.087283-04:00,id:n0k9mGOYpxmk
R10:S19-r5.00:s5.00,R10,5.0,S19,5.0,17.5,1.8,9.0,explore,Y,1,id:eGakldaMD3eB,prep:3b856e2ab30ebc0a113ddb80c1f086ab,thread3,2024-09-11T04:10:58.783592-04:00,2024-09-13T14:49:00-04:00,id:O81aEBv6LKKe,image:8ae968770b4f7adaedfe5c1991435d88,thread3,2024-09-15T18:31:58.243272-04:00,2024-09-15T22:15:26.087283-04:00,id:n0k9mGOYpxmk
R10:S5-r5.00:s5.00,R10,5.0,S5,5.0,15.3,18.0,6.1,explore+,Y,0,id:01G6nvGXPeD4,prep:2dbe9cdab94bb4bbaa6b2e7d716fe957,thread3,2024-09-15T23:54:51.737717-04:00,2024-09-17T04:35:35-04:00,id:rea9jl5vqkoL,image:0fa1c2ce1f503dbaa631c07aa79e3334,thread3,2024-09-19T12:08:24.186860-04:00,2024-09-19T18:06:41.404354-04:00,id:Vrbp1jv5R5Bm
R10:S6-r5.00:s5.00,R10,5.0,S6,5.0,14.7,12.3,22.3,explore+,Y,0,id:Z1lqpMlkvOrL,prep:2dbe9cdab94bb4bbaa6b2e7d716fe957,thread3,2024-09-15T23:54:51.737717-04:00,2024-09-17T04:35:35-04:00,id:rea9jl5vqkoL,image:0fa1c2ce1f503dbaa631c07aa79e3334,thread3,2024-09-19T12:08:24.186860-04:00,2024-09-19T18:06:41.404354-04:00,id:Vrbp1jv5R5Bm
R10:S8-r5.00:s5.00,R10,5.0,S8,5.0,17.4,4.1,13.5,explore+,Y,0,id:4pO6dMOGjXmr,prep:2dbe9cdab94bb4bbaa6b2e7d716fe957,thread3,2024-09-15T23:54:51.737717-04:00,2024-09-17T04:35:35-04:00,id:rea9jl5vqkoL,image:0fa1c2ce1f503dbaa631c07aa79e3334,thread3,2024-09-19T12:08:24.186860-04:00,2024-09-19T18:06:41.404354-04:00,id:Vrbp1jv5R5Bm
R10:S9-r5.00:s5.00,R10,5.0,S9,5.0,17.4,13.7,11.3,explore+,Y,0,id:Vrbp1jblaVvW,prep:2dbe9cdab94bb4bbaa6b2e7d716fe957,thread3,2024-09-15T23:54:51.737717-04:00,2024-09-17T04:35:35-04:00,id:rea9jl5vqkoL,image:0fa1c2ce1f503dbaa631c07aa79e3334,thread3,2024-09-19T12:08:24.186860-04:00,2024-09-19T18:06:41.404354-04:00,id:Vrbp1jv5R5Bm
