Label,Resin,ResinAmount,Solvent,SolventAmount,dD,dP,dH,Initiator,Result,ResultRevised,LabId,PrepTaskId,PrepByThread,PrepStart,PrepEnd,PrepProtocolId,ImageTaskId,ImageByThread,ImageStart,ImageEnd,ImageProtocolId
R0:S6-r5.00:s5.00,R0,5.0,S6,5.0,14.7,12.3,22.3,explore,N,,,prep:8aaf571a84197a2003fe03fa7308281a,test,2025-02-24T12:10:44.758220-05:00,2025-02-24T12:10:44.758220-05:00,,,,2025-02-24T12:10:44.758220-05:00,2025-02-24T12:10:44.758220-05:00,
R0:S12-r5.00:s5.00,R0,5.0,S12,5.0,16.0,6.8,17.4,explore,Y,,,prep:8aaf571a84197a2003fe03fa7308281a,test,2025-02-24T12:10:44.758220-05:00,2025-02-24T12:10:44.758220-05:00,,,,2025-02-24T12:10:44.758220-05:00,2025-02-24T12:10:44.758220-05:00,
R0:S13-r5.00:s5.00,R0,5.0,S13,5.0,16.8,0.0,0.2,explore,Y,,,prep:8aaf571a84197a2003fe03fa7308281a,test,2025-02-24T12:10:44.758220-05:00,2025-02-24T12:10:44.758220-05:00,,,,2025-02-24T12:10:44.758220-05:00,2025-02-24T12:10:44.758220-05:00,
R0:S15-r5.00:s5.00,R0,5.0,S15,5.0,16.8,5.7,8.0,explore,N,,,prep:8aaf571a84197a2003fe03fa7308281a,test,2025-02-24T12:10:44.758220-05:00,2025-02-24T12:10:44.758220-05:00,,,,2025-02-24T12:10:44.758220-05:00,2025-02-24T12:10:44.758220-05:00,
R0:S18-r5.00:s5.00,R0,5.0,S18,5.0,18.0,16.6,7.4,explore,Y,,,prep:8aaf571a84197a2003fe03fa7308281a,test,2025-02-24T12:10:44.758220-05:00,2025-02-24T12:10:44.758220-05:00,,,,2025-02-24T12:10:44.758220-05:00,2025-02-24T12:10:44.758220-05:00,
R0:S25-r5.00:s5.00,R0,5.0,S25,5.0,15.5,16.0,42.3,explore,N,,,prep:8aaf571a84197a2003fe03fa7308281a,test,2025-02-24T12:10:44.758220-05:00,2025-02-24T12:10:44.758220-05:00,,,,2025-02-24T12:10:44.758220-05:00,2025-02-24T12:10:44.758220-05:00,
R0:S2-r5.00:s5.00,R0,5.0,S2,5.0,14.9,0.0,0.0,explore+,,,,prep:3e743b8bac88226840dd4b4d26edefd2,test,2025-02-24T12:11:06.529415-05:00,,,,,,,
R0:S19-r5.00:s5.00,R0,5.0,S19,5.0,17.5,1.8,9.0,explore+,,,,prep:3e743b8bac88226840dd4b4d26edefd2,test,2025-02-24T12:11:06.529415-05:00,,,,,,,
R0:S17-r5.00:s5.00,R0,5.0,S17,5.0,18.0,12.3,7.2,explore+,,,,prep:3e743b8bac88226840dd4b4d26edefd2,test,2025-02-24T12:11:06.529415-05:00,,,,,,,
R0:S5-r5.00:s5.00,R0,5.0,S5,5.0,15.3,18.0,6.1,explore+,,,,prep:3e743b8bac88226840dd4b4d26edefd2,test,2025-02-24T12:11:06.529415-05:00,,,,,,,
R0:S4-r5.00:s5.00,R0,5.0,S4,5.0,20.0,18.0,4.1,explore+,,,,prep:3e743b8bac88226840dd4b4d26edefd2,test,2025-02-24T12:11:06.529415-05:00,,,,,,,
R0:S23-r5.00:s5.00,R0,5.0,S23,5.0,17.4,11.3,27.2,explore+,,,,prep:3e743b8bac88226840dd4b4d26edefd2,test,2025-02-24T12:11:06.529415-05:00,,,,,,,
