Label,Resin,ResinAmount,Solvent,SolventAmount,dD,dP,dH,Initiator,Result,ResultRevised,LabId,PrepTaskId,PrepByThread,PrepStart,PrepEnd,PrepProtocolId,ImageTaskId,ImageByThread,ImageStart,ImageEnd,ImageProtocolId
R11:S14-r5.00:s5.00,R11,5.0,S14,5.0,15.6,5.6,9.8,exploit,Y,0,id:pZx9joxM0N0M,prep:15f7fb1e4d9169d6296e301a33bfe661,thread1,2024-06-02T18:11:48.758176-04:00,2024-06-03T20:22:48-04:00,id:aXRlGnRjMrbX,image:92ff4088e04624a29f85e0870446d615,thread1,2024-06-04T23:14:09.552283-04:00,2024-08-27T17:12:54.558302-04:00,id:qdkmxzk5LV8V
R11:S11-r5.00:s5.00,R11,5.0,S11,5.0,15.8,8.8,19.4,exploit,Y,0,id:54n6evnAWqWB,prep:15f7fb1e4d9169d6296e301a33bfe661,thread1,2024-06-02T18:11:48.758176-04:00,2024-06-03T20:22:48-04:00,id:aXRlGnRjMrbX,image:92ff4088e04624a29f85e0870446d615,thread1,2024-06-04T23:14:09.552283-04:00,2024-08-27T17:12:54.558302-04:00,id:qdkmxzk5LV8V
R11:S13-r5.00:s5.00,R11,5.0,S13,5.0,16.8,0.0,0.2,exploit,N,0,id:n0k9mGkMKjKp,prep:15f7fb1e4d9169d6296e301a33bfe661,thread1,2024-06-02T18:11:48.758176-04:00,2024-06-03T20:22:48-04:00,id:aXRlGnRjMrbX,image:92ff4088e04624a29f85e0870446d615,thread1,2024-06-04T23:14:09.552283-04:00,2024-08-27T17:12:54.558302-04:00,id:qdkmxzk5LV8V
R11:S17-r5.00:s5.00,R11,5.0,S17,5.0,18.0,12.3,7.2,exploit,Y,0,id:Z1lqpMlkvOvM,prep:15f7fb1e4d9169d6296e301a33bfe661,thread1,2024-06-02T18:11:48.758176-04:00,2024-06-03T20:22:48-04:00,id:aXRlGnRjMrbX,image:92ff4088e04624a29f85e0870446d615,thread1,2024-06-04T23:14:09.552283-04:00,2024-08-27T17:12:54.558302-04:00,id:qdkmxzk5LV8V
R11:S19-r5.00:s5.00,R11,5.0,S19,5.0,17.5,1.8,9.0,exploit,Y,0,id:1ZA60vAqPpP6,prep:15f7fb1e4d9169d6296e301a33bfe661,thread1,2024-06-02T18:11:48.758176-04:00,2024-06-03T20:22:48-04:00,id:aXRlGnRjMrbX,image:92ff4088e04624a29f85e0870446d615,thread1,2024-06-04T23:14:09.552283-04:00,2024-08-27T17:12:54.558302-04:00,id:qdkmxzk5LV8V
R11:S22-r5.00:s5.00,R11,5.0,S22,5.0,14.5,2.9,4.6,exploit,N,0,id:01G6nvGXPeP4,prep:15f7fb1e4d9169d6296e301a33bfe661,thread1,2024-06-02T18:11:48.758176-04:00,2024-06-03T20:22:48-04:00,id:aXRlGnRjMrbX,image:92ff4088e04624a29f85e0870446d615,thread1,2024-06-04T23:14:09.552283-04:00,2024-08-27T17:12:54.558302-04:00,id:qdkmxzk5LV8V
R11:S4:S5-r5.00:s3.50:s1.50,R11,5.0,S4:S5,3.50:1.50,18.59,18.0,4.7,exploit,Y,0,id:aXRlGn09v8Dk,prep:dac54570cdc25355c0e5b423f901df52,thread1,2024-08-27T18:36:42.531844-04:00,2024-08-31T02:02:53-04:00,id:54n6evJzp6al,image:822e0947da2b883e8ba9b12b411a9b03,thread1,2024-09-01T02:10:24.992511-04:00,2024-09-01T22:24:54.010024-04:00,id:wqW9BPzbdBE4
R11:S12:S14-r5.00:s3.00:s2.00,R11,5.0,S12:S14,3.00:2.00,15.84,6.32,14.36,exploit,Y,0,id:E8zoYvznVwOX,prep:dac54570cdc25355c0e5b423f901df52,thread1,2024-08-27T18:36:42.531844-04:00,2024-08-31T02:02:53-04:00,id:54n6evJzp6al,image:822e0947da2b883e8ba9b12b411a9b03,thread1,2024-09-01T02:10:24.992511-04:00,2024-09-01T22:24:54.010024-04:00,id:wqW9BPzbdBE4
R11:S13:S14-r5.00:s1.50:s3.50,R11,5.0,S13:S14,1.50:3.50,15.96,3.92,6.92,exploit,Y,0,id:L8kPEjk4A7OG,prep:dac54570cdc25355c0e5b423f901df52,thread1,2024-08-27T18:36:42.531844-04:00,2024-08-31T02:02:53-04:00,id:54n6evJzp6al,image:822e0947da2b883e8ba9b12b411a9b03,thread1,2024-09-01T02:10:24.992511-04:00,2024-09-01T22:24:54.010024-04:00,id:wqW9BPzbdBE4
R11:S10:S3-r5.00:s3.00:s2.00,R11,5.0,S3:S10,2.00:3.00,16.68,2.78,4.58,exploit,Y,1,id:P5ZnEjZRr1rL,prep:dac54570cdc25355c0e5b423f901df52,thread1,2024-08-27T18:36:42.531844-04:00,2024-08-31T02:02:53-04:00,id:54n6evJzp6al,image:822e0947da2b883e8ba9b12b411a9b03,thread1,2024-09-01T02:10:24.992511-04:00,2024-09-01T22:24:54.010024-04:00,id:wqW9BPzbdBE4
