Filename,Sample,MD5,Result,ResultRevised,HumanResult,CvResult,NInterfaces,NDetected,NCorrect,NMissing,NMissingLabel,NMissingBg,NMissingWeakSignal,NIncorrect,NIncorrectLabel,NIncorrectBg,NIncorrectDuplicate
R9S4-r5.00s5.00,R9:S4-r5.00:s5.00,52c5d570da6caee8216ace9de734b375,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R9S4S14-r5.00s1.50s3.50,R9:S4:S14-r5.00:s1.50:s3.50,9fee26e62290d1c06688737c5519e7b0,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R9S5-r5.00s5.00,R9:S5-r5.00:s5.00,acc06f5d6b9523237c95f5ca90966f35,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R9S5S17-r5.00s2.00s3.00,R9:S5:S17-r5.00:s2.00:s3.00,072f43946761f600da70ffab98794a2d,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R9S6-r5.00s5.00,R9:S6-r5.00:s5.00,b7c5fc086be486251df0bcd9b129f007,Y,False,True,True,1,0,0,1,1,0,0,0,0,0,0
R9S7-r5.00s5.00,R9:S7-r5.00:s5.00,da6e7800baba80d13fc9aa8bf8e50bbf,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R9S7S23-r5.00s2.00s3.00,R9:S7:S23-r5.00:s2.00:s3.00,e79c78db374f4d9b5521c0a7eca259f5,N,False,False,False,2,2,2,0,0,0,0,0,0,0,0
R9S8-r5.00s5.00,R9:S8-r5.00:s5.00,9526196bbdb4aa291a4c0894ff2ecacb,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R9S8S21-r5.00s1.00s4.00,R9:S8:S21-r5.00:s1.00:s4.00,46f3ddf88110c651ad1ba945d921f34d,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R9S9-r5.00s5.00,R9:S9-r5.00:s5.00,d21fefcd08c448561408d50b1aad2867,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R9S10-r5.00s5.00,R9:S10-r5.00:s5.00,eb2c6c114db2ddc7732a383a5d505859,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R9S11-r5.00s5.00,R9:S11-r5.00:s5.00,5583f200a845445e75266f915294ad87,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R9S11S25-r5.00s1.50s3.50,R9:S11:S25-r5.00:s1.50:s3.50,360ad9fd25a77b48958c928b33da5424,N,False,False,False,2,3,2,0,0,0,0,1,0,1,0
R9S12-r5.00s5.00,R9:S12-r5.00:s5.00,36756a5daa1ada63d995c4c752b5afb7,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R9S13-r5.00s5.00,R9:S13-r5.00:s5.00,145f9b61d67d1202270edcb62922a289,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R9S13S14-r5.00s3.00s2.00,R9:S13:S14-r5.00:s3.00:s2.00,b3476adfca7a9ee37a08db9a4e1189ae,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R9S14-r5.00s5.00,R9:S14-r5.00:s5.00,f9d95cc4fb4368b06ee0abfcfc63feef,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R9S15-r5.00s5.00,R9:S15-r5.00:s5.00,41a83e3bf3f1101e7141678eb320e612,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R9S17-r5.00s5.00,R9:S17-r5.00:s5.00,5b76ead702b64d4b0e5c794312309faa,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R9S18-r5.00s5.00,R9:S18-r5.00:s5.00,0e23674a99ef1fd31db98994b52ca933,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R9S19-r5.00s5.00,R9:S19-r5.00:s5.00,fb04899b25826f755abc49378dbbbb1f,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R9S21-r5.00s5.00,R9:S21-r5.00:s5.00,b7f502823acb245d11aab2a65e7b0502,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R9S23-r5.00s5.00,R9:S23-r5.00:s5.00,b720d83bf347fb81c12629ec272bf110,N,False,False,False,2,2,2,0,0,0,0,0,0,0,0
R9S25-r5.00s5.00,R9:S25-r5.00:s5.00,7d69dd317354e18fc60ae4a7ca5fa7f9,N,False,False,False,2,2,2,0,0,0,0,0,0,0,0
R10S1S10-r5.00s0.50s4.50,R10:S1:S10-r5.00:s0.50:s4.50,045eda08ff7902c099666d261e791f47,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R10S1S11-r5.00s1.00s4.00,R10:S1:S11-r5.00:s1.00:s4.00,1552272daafae55057be4859f47d3afc,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R10S1S16-r5.00s2.00s3.00,R10:S1:S16-r5.00:s2.00:s3.00,ffa5301bccbef2d17d28c8241cba76a8,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R10S2-r5.00s5.00,R10:S2-r5.00:s5.00,b2db33131ab1438626515fd9c42924db,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R10S4S17-r5.00s2.50s2.50,R10:S4:S17-r5.00:s2.50:s2.50,b76e53dda667f0d485f58c6d8e448c5e,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
